City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Trapani,IT,37.8333,12.6667,57.99,82,40,17.27,scattered clouds
186,Tomatlan,MX,19.9333,-105.25,68.68,81,80,1.95,broken clouds
187,Vostok,RU,46.4856,135.8833,21.67,90,0,4.41,clear sky
188,San Patricio,US,28.017,-97.5169,69.8,100,90,4.61,mist
189,Visnes,NO,59.3556,5.2242,33.01,93,40,8.05,scattered clouds
190,Yar-Sale,RU,66.8333,70.8333,-39.64,80,15,3.33,few clouds
191,La Primavera,CO,5.4906,-70.4092,81.07,61,56,4.68,broken clouds
192,Baft,IR,29.234,56.6057,35.94,48,0,2.46,clear sky
193,Kingaroy,AU,-26.5333,151.8333,82.99,41,75,10.36,broken clouds
194,Guaruja,BR,-23.9931,-46.2564,81.0,26,100,6.24,overcast clouds
195,Cabedelo,BR,-6.9811,-34.8339,75.2,94,0,2.3,clear sky
196,Koumac,NC,-20.5667,164.2833,83.12,73,93,10.47,overcast clouds
197,Astoria,US,46.1879,-123.8313,42.8,81,90,4.61,overcast clouds
198,Pouebo,NC,-20.4,164.5667,80.06,78,97,19.69,overcast clouds
199,Tabou,CI,4.423,-7.3528,76.86,89,1,5.1,clear sky
200,Saint-Philippe,RE,-21.3585,55.7679,80.6,65,90,3.44,overcast clouds
201,Yablochnyy,RU,47.1661,142.0661,28.4,80,75,11.18,broken clouds
202,Krasnaya Gora,RU,52.9995,31.6023,32.0,93,90,13.42,mist
203,Srednekolymsk,RU,67.45,153.6833,-26.57,85,100,9.57,overcast clouds
204,Chapais,CA,49.7834,-74.8492,-0.4,78,90,13.8,overcast clouds
205,Maceio,BR,-9.6658,-35.7353,73.4,94,40,1.14,scattered clouds
206,Pocone,BR,-16.2567,-56.6228,73.8,92,99,2.24,light rain
207,Dandong,CN,40.1292,124.3947,40.96,66,48,2.13,scattered clouds
208,Djibo,BF,14.1022,-1.6306,63.54,25,63,8.5,broken clouds
209,Broome,US,42.2506,-75.833,19.0,67,90,13.8,overcast clouds
210,Sayyan,YE,15.1718,44.3244,45.9,51,46,1.52,scattered clouds
211,Constitucion,CL,-35.3333,-72.4167,57.97,88,4,1.36,clear sky
212,Geraldton,AU,-28.7667,114.6,77.0,53,14,13.8,few clouds
213,Baherden,TM,38.4362,57.4316,32.67,81,0,2.82,clear sky
214,Namatanai,PG,-3.6667,152.4333,86.34,58,81,5.95,broken clouds
215,Yerbogachen,RU,61.2767,108.0108,-37.01,80,100,2.21,overcast clouds
216,Phek,IN,25.6667,94.5,58.66,64,7,0.25,clear sky
217,Mabaruma,GY,8.2,-59.7833,71.64,94,76,2.1,broken clouds
218,Victoria,HK,22.2855,114.1577,64.99,83,27,5.01,scattered clouds
219,Talnakh,RU,69.4865,88.3972,-35.81,73,52,0.96,broken clouds
220,Sarankhola,BD,22.3082,89.7897,77.94,35,7,2.73,clear sky
221,Nemuro,JP,43.3236,145.575,24.8,74,75,10.36,broken clouds
222,Kahului,US,20.8947,-156.47,77.0,61,1,18.41,clear sky
223,Salalah,OM,17.0151,54.0924,66.2,37,0,14.97,clear sky
224,Yataity Del Norte,PY,-24.8333,-56.35,71.83,93,1,5.77,clear sky
225,Butajira,ET,8.1167,38.3667,54.28,42,25,3.18,scattered clouds
226,Sosnovo-Ozerskoye,RU,52.5249,111.5418,9.9,92,100,4.23,overcast clouds
227,Spirit River,CA,55.7833,-118.8361,3.0,92,100,12.66,overcast clouds
228,Ambilobe,MG,-13.2,49.05,76.12,89,54,1.97,broken clouds
229,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,-0.99,86,77,12.68,broken clouds
230,The Valley,AI,18.217,-63.0578,77.0,83,20,4.61,few clouds
231,Balkanabat,TM,39.5108,54.3671,33.78,79,93,5.14,overcast clouds
232,Wattegama,LK,6.7989,81.4808,78.8,83,40,10.36,scattered clouds
233,Bastrop,US,32.7562,-91.8724,46.99,87,90,4.61,overcast clouds
234,Muros,ES,42.7762,-9.0603,52.0,90,97,1.01,overcast clouds
235,Shetpe,KZ,44.1667,52.1167,30.24,96,4,11.39,clear sky
236,Abu Samrah,SY,35.3029,37.1841,37.72,72,28,6.73,scattered clouds
237,Nizhniy Kuranakh,RU,58.8353,125.4869,-28.1,80,48,2.42,scattered clouds
238,Ritchie,ZA,-29.038,24.6028,64.4,94,0,2.3,clear sky
239,Itarema,BR,-2.9248,-39.9167,80.22,77,100,9.26,overcast clouds
240,Naze,JP,28.3667,129.4833,69.8,64,20,17.27,few clouds
241,Ballina,AU,-28.8667,153.5667,82.4,65,40,12.66,scattered clouds
242,Ahome,MX,25.9167,-109.1833,60.8,77,40,1.59,scattered clouds
243,Port Shepstone,ZA,-30.7414,30.455,76.84,80,97,22.12,overcast clouds
244,Christchurch,NZ,-43.5333,172.6333,73.99,33,100,12.66,overcast clouds
245,Souillac,MU,-20.5167,57.5167,75.2,94,40,2.3,scattered clouds
246,Ganganagar,IN,29.9167,73.8833,56.01,54,0,6.06,clear sky
247,Borovoy,RU,55.4333,86.0833,-9.4,77,90,8.95,light snow
248,Igarka,RU,67.4667,86.5833,-39.71,72,0,2.86,clear sky
249,Newton,US,42.337,-71.2092,19.4,49,1,24.16,clear sky
250,Corumba,BR,-19.0092,-57.6533,73.53,95,100,1.45,light rain
251,Ancud,CL,-41.8697,-73.8203,54.0,76,0,16.11,clear sky
252,Goundam,ML,16.4145,-3.6708,62.29,21,11,11.45,few clouds
